,BOOL,BYTE,WORD,DWORD,LWORD,SINT,INT,DINT,LINT,USINT,UINT,UDINT,ULINT,REAL,LREAL,TIME,TOD,DATE,DT,STRING
BOOL,EQUAL,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
BYTE,SAFE,EQUAL,SAFE,SAFE,SAFE,MAX,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
WORD,SAFE,MAX,EQUAL,SAFE,SAFE,MAX,MAX,SAFE,SAFE,MAX,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
DWORD,SAFE,MAX,MAX,EQUAL,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,SAFE,SAFE,SAFE,SAFE,SAFE,MAX,SAFE,SAFE,SAFE
LWORD,SAFE,MAX,MAX,MAX,EQUAL,MAX,MAX,MAX,MAX,MAX,MAX,MAX,SAFE,SAFE,SAFE,MAX,MAX,MAX,MAX,SAFE
SINT,SAFE,MIN,MIN,MIN,MIN,EQUAL,SAFE,SAFE,SAFE,MIN,MIN,MIN,MIN,SAFE,SAFE,MIN,MIN,MIN,MIN,SAFE
INT,SAFE,MIN/MAX,MIN,MIN,MIN,MIN/MAX,EQUAL,SAFE,SAFE,MIN/MAX,MIN,MIN,MIN,SAFE,SAFE,MIN,MIN,MIN,MIN,SAFE
DINT,SAFE,MIN/MAX,MIN/MAX,MIN,MIN,MIN/MAX,MIN/MAX,EQUAL,SAFE,MIN/MAX,MIN/MAX,MIN,MIN,SAFE,SAFE,MIN,MIN/MAX,MIN,MIN,SAFE
LINT,SAFE,MIN/MAX,MIN/MAX,MIN/MAX,MIN,MIN/MAX,MIN/MAX,MIN/MAX,EQUAL,MIN/MAX,MIN/MAX,MIN/MAX,MIN,SAFE,SAFE,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,SAFE
USINT,SAFE,SAFE,SAFE,SAFE,SAFE,MAX,SAFE,SAFE,SAFE,EQUAL,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
UINT,SAFE,MAX,SAFE,SAFE,SAFE,MAX,MAX,SAFE,SAFE,MAX,EQUAL,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE,SAFE
UDINT,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,EQUAL,SAFE,SAFE,SAFE,SAFE,MAX,SAFE,SAFE,SAFE
ULINT,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,MAX,MAX,MAX,MAX,MAX,EQUAL,SAFE,SAFE,MAX,MAX,MAX,MAX,SAFE
REAL,SAFE,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,EQUAL,SAFE,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,SAFE
LREAL,SAFE,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,EQUAL,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX,MIN/MAX
TIME,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,SAFE,SAFE,SAFE,SAFE,EQUAL,MAX,SAFE,SAFE,SAFE
TOD,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,SAFE,SAFE,SAFE,SAFE,SAFE,EQUAL,SAFE,SAFE,SAFE
DATE,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,SAFE,SAFE,SAFE,SAFE,MAX,MAX,EQUAL,MAX,SAFE
DT,SAFE,MAX,MAX,SAFE,SAFE,MAX,MAX,MAX,SAFE,MAX,MAX,SAFE,SAFE,SAFE,SAFE,MAX,MAX,SAFE,EQUAL,SAFE
STRING,SAFE,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,DOUBLECHECK,EQUAL
